Categoria;Fundo;Data Inicio;Cota (R$);Variacao Dia (%);Acum. Mes (%);Acum. Ano (%);Acum. 12M (%);PL (mi R$);PL Medio 30d (mi R$);Taxa Adm %;Aberto;Aplic. Min (R$);Benchmark;Resgate Conv.;Resgate Pgto;% CDI Ano;% CDI 12m
ACOES;AMX VALOR FUNDO DE INVESTIMENTO DE AÇÕES;2013-06-07;;;;;;;;;;;;;;;
ACOES;BB NOSSA CAIXA AÇÕES MULTIGESTÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2007-10-26;;;;;;;;;;;;;;;
ACOES;BURITIS FUNDO DE INVESTIMENTO EM AÇÕES;2021-06-25;;;;;;;;;;;;;;;
ACOES;CAIXA FUNDO DE INVESTIMENTO EM ACOES CEVIX II;2012-02-13;;;;;;;;;;;;;;;
ACOES;FATOR NOSSA CAIXA MULTIGESTÃO FUNDO DE INVESTIMENTO EM AÇÕES;2007-10-08;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES BOTÂNICA SUSTENTABILIDADE;2012-09-05;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA INSTITUCIONAL IBX-50 ATIVO;2008-12-10;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA MULTI SETORIAL;2012-12-17;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES CERRADO SUSTENTABILIDADE;2008-04-25;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES GUARANI;2012-12-13;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES LETO;2013-03-05;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES PARANOÁ;2015-07-01;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES PONTE JK;2013-03-01;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES REPÚBLICA;2013-02-22;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES SAVANA SUSTENTABILIDADE;2005-03-29;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES TOP ATLAS;2006-09-27;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES TOP CONCORD;2005-03-10;;;;;;;;;;;;;;;
ACOES;FUNDO DE INVESTIMENTO EM AÇÕES VIRTUS;2013-10-24;;;;;;;;;;;;;;;
